,full_text,sentiment,emotion
219,"@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Cuanto les pagaron por el favor? Lastima la platica, siga llorando cafre hpta, el 29 nos vemos en las urnas, no más narco uribismo, sigan robando a ver si les alcanza, solo comprando votos ganan elecciones, malnacido.",negative,anger
213,"#Video | Solo un candidato lo ha logrado en la historia reciente de Colombia: Álvaro Uribe Vélez en las elecciones del 2002. 
 
 https://t.co/3nemYfAN3A",neutral,
462,"#VIDEO Rodolfo Hernández: ""Fajardo como que ya pasó a la historia"". https://t.co/pSC4N4Q5ZX https://t.co/3RaV9yqwaT",,
443,Advierten inhabilidades en jurados de votación elegidos para elecciones presidenciales https://t.co/E29cwaZIts,,
192,"@PuertaRestrepo4 Pilas amigos colombianos que este tipo @MashiRafael se robó desde la esperanza hasta la banda presidencial de El Ecuador, de billete ni hablar suerte en las elecciones x una colombia sin comunismo",negative,fear
36,"@Lucho_Matto @JulianFMartinez @IvanDuque @DNP_Colombia que van a retener cedulas de trabajadores hasta despues de las elecciones. Suplantacion de identidad.
 
 Propongo: ordenar a Los jurados que tienen que preguntar al votante la fecha de nacimiento y numero de cedula.
 
 si no se la saben toca ver si son los dueños reales de esa cedula.",neutral,anger
8,"@Margaritarosadf Nos llevó el putas, aunque aquí en Colombia también estamos en guerra y como seguramente Petro gana las elecciones vamos a estar peor y sobra decir por obra de quién",negative,sadness
472,"@roseupe24 @gestupra @PGN_COL @IvanDuque @FiscaliaCol Un robo a las elecciones, a favor de Petro, es casi una declaratoria de guerra civil y catástrofe, para todos. @CNE_COLOMBIA @Registraduria
 
 @PGN_COL
 
 @COMANDANTE_EJC @COL_EJERCITO @IvanDuque @mindefensa https://t.co/elAeUTvqhz",,
105,"En la Video Columna de La Conversa, este sábado 8:00 p.m., análisis sobre la actualidad política y social de Colombia, a escasos días de elecciones presidenciales. https://t.co/DcJRYFli9t",neutral,joy
281,NARCOPARAURIBISMO GENOCIDA Y CLAN DEL GOLFO TRABAJAN EN LLAVE PARA METER MIEDO A COLOMBIA Y ROBARSE LAS ELECCIONES DEL 29 DE MAYO. https://t.co/RBbK9B1dKP,negative,anger
435,"Eso sabe ;)
 
 Adelante #PetroPresidente2022 
 
 https://t.co/xscQ26b62m https://t.co/NIJNT0Sms7",,
642,"El próximo 2 de junio se realizará el ""Debate Feminista: Colombia 2022"" con los candidatos presidenciales que logren llegar a segunda vuelta 💭🇨🇴
 
 
 
 https://t.co/zpHp59ivvi",neutral,joy
437,@ozuismysenpai Pillá https://t.co/fnZFeKA3fz,,
397,@MONYRODRIGUEZOF Ojalá que petrochanda se alejé de la política cuando pierda las elecciones.por que Colombia siempre será y ganará la Democracia.,,
151,"Modelo de Tutela que busca dar ""Tranquilidad"" Para las Elecciones Presidenciales del #29Mayo 2022 en #Colombia 
 
 https://t.co/Mg9cirfTIo",neutral,joy
625,"Match presidencial: descubra su candidato ideal para las elecciones en Colombia | El Espectador #elEspectador
 
 
 
 🚂#trendeconciencia
 
 📺
 
 👇 
 
 https://t.co/14UgzE8rpJ via @PodcastAddict https://t.co/dFY6PvhhHS",neutral,
31,"El criminal narcotraficante @IvanDuque busca con desespero crear estado de conmoción nacional que le permita suspender las elecciones presidenciales ante la innegable superioridad electoral del candidato @petrogustavo. El uribismo en #Colombia es capaz de cualquier cosa, ¡pilas! https://t.co/5afrk9TrQK",negative,anger
20,"Colombia, país donde un expresidente hace un paro armado en plenas elecciones y no pasa absolutamente nada.",negative,anger
466,"#QuienRespondePor
 
 Queman carro de @UNALOficial Universidad Nacional en Santa Fe de Antioquia. El @COL_EJERCITO y la @PoliciaColombia Se escondieron no Actúan Parece ser el excenario para una Guerra Civil y así evitar Elecciones Presidenciales en Colombia @bbcmundo https://t.co/SWEo3DvigS",,
202,"¡Está Joya está disponible en Netflix! 
 
 
 
 *Ojalá Colombia la vea antes de las elecciones. #LaDictaduraPerfecta 
 
 
 
 La televisión ya puso un presidente... ¿Lo volverá hacer? #ColombiaDecide https://t.co/jrnNjKSeJR",positive,joy
409,"Estos son los tarjetones con los que Colombia ha votado a la presidencia en 28 años:
 
 
 
 https://t.co/7jcyCwQuni",,
122,@ANIABELLO_R @Karlaarcila tienen las elecciones cuadradas para que gane el hampón de @petrogustavo como sea.Yo no creo en la @Registraduria ni en @IndraenColombia que tiene cuestionamientos de su software en otros países pero la @CGR_Colombia @PGN_COL @CNE_COLOMBIA pasan de agache y no dicen ni hacen nada,negative,anger
50,Petro retomará lazos con Venezuela si llega a Presidencia de Colombia https://t.co/U2HIRmOSsR,neutral,joy
511,ESTO ES LO QUE LE ESPERA A COLOMBIA 🇨🇴 SI PETRO GANA LAS ELECCIONES SU PROPIEDAD Y LA DE TODOS LOS COLOMBIANOS SERÁN QUEMADOS SUS PROPIEDADES EXPROPIADAS OJO COLOMBIA 🇨🇴 https://t.co/FwhicXJj3D,,
21,"🇨🇴 Después de todo el manto de dudas y fraudes de las pasadas elecciones en #Colombia, que confianza produce las votaciones del 29 de Mayo??
 
 /RT",negative,anger
19,@IvanDuque Quien da vía libre a paramilitares para sitiar a Colombia y y afectar elecciones @ONUHumanRights @MisionONUCol @Declaracion @RIDH_INHR @CorteIDH @OACNUDH https://t.co/fZ2yFvjIwY,negative,fear
357,"NO IMPORTA que salgamos a votar 20 millones por @FicoGutierrez ,El registrador ""Tibisay VEGA"" y el @CNE_COLOMBIA al servicio de las 2 Prostitutas de la Justicia,""La suprema y La constitucional,se van a robar las elecciones a favor de ""PETRO"" ya se robaron las parlamentarias OJO!!",,
537,Willian Malkun ganó elecciones a rectoría de la UniCartagena https://t.co/MDWRzjblpu #CartagenadeIndias #Bolívar #Universidadespúblicas #Colombia https://t.co/6u4RQyNBKj,,
546,"#ElRiesgoEs que se roben las elecciones, gane Petro y Colombia 🇨🇴 pierda la democracia!",,
473,"@roseupe24 @gestupra @PGN_COL @IvanDuque @FiscaliaCol Un robo a las elecciones, a favor de Petro, es casi una declaratoria de guerra civil y catástrofe, para todos. @CNE_COLOMBIA @Registraduria
 
 @PGN_COL
 
 @COMANDANTE_EJC @COL_EJERCITO @IvanDuque @mindefensa https://t.co/elAeUTvqhz",,
298,"Esta es la recopilación de los tarjetones de los últimos 28 años en el país. ¿Cuáles recuerda? 
 
 
 
 #Elecciones2022 #ColombiaDecide 
 
 https://t.co/7jcyCwQuni",neutral,joy
500,"@Marbelle30 Imagínense que Colombia está tan llevada del P... que petro ganará las próximas elecciones presidenciales, la gente está mamada, cansada del uribismo como les parece pues , en medio del desespero de siempre lo mismo y nada de progreso, prefieren la incertidumbre con petro .",,
231,"@SdrodriguezT PetroFarc está asustado porque sabe que el uribismo es una fuerza poderosa y ganaremos las elecciones, los bandidos mafiosos del Pacto de la Picota , jamás tendrán el poder, acabarían con Colombia .",negative,joy
127,"Occidente es debil solo había atacar a Colombia con paro nacional, elecciones limpias, Rusia atacara Ucrania lavadero de Nazis, China bloqueara su cadena suministro y Patron oro volviera
 
 Bitcoin se expanda en todo el mundo",negative,anger
459,"Con esto del paro armado y el miedo generado a la población, solo llego a la conclusión de para qué elecciones si ya sabemos quien gobierna a Colombia.",,
420,@AlvaroUribeVel No viejito sarnoso ; ya conocemos su accionar ; crea el caos y culpa a tu enemigo político para poderle ganar las elecciones ; ya COLOMBIA sabe cómo actúa usted ; paraco hijueputa,,
504,"@RevistaSemana El tema es que quién lo dice, es el mayor delincuente de la historia de Colombia, ¿Cómo le van a robar elecciones al líder de la corrupción en Colombia?",,
75,"Colombia está siendo agitada sutilmente mientras se acercan las elecciones. 🇨🇴 parece resistirle al comunismo, la izquierda sin el poder hace estragos, mientras algunos duermen otros no lo pueden hacer por la violencia. Da angustia ver notícias. 
 
 
 
 ¿Conmoción Interior?....",negative,fear
34,"@ELTIEMPO Que lo diga antes de las elecciones en Colombia. Eso es un delito, claro que con estas cortes en Colombia vendidas a la izquierda todo es posible",negative,anger
540,"Los q apoyan a terroristas, bravos con RCN porq muestra a Colombia su verdadera cara siniestra. Es q la realidad hay q mostrarla, son asesinos que nos quieren gobernar https://t.co/SSyfXEHYXy",negative,anger
502,"#Mundo Gustavo Petro, candidato presidencial de Colombia, ratificó que de salir victorioso en las elecciones del 29May retomará las relaciones con Venezuela.
 
 
 
 La propuesta fue aplaudida por sus seguidores. ""Es lo más recomendable"" para esta región latinoamericana, dijo. #6Mayo https://t.co/OmS5zk5lcd",,
216,"ULTIMA HORA:
 
 
 
 Con la extradición de alias Otoniel, se acaba el narcotráfico en Colombia.
 
 
 
 Nadie más enviaba coca a EEUU, no tenía aliados políticos, no tenía impacto en las elecciones actuales. Gracias diosito. https://t.co/TIREQ7moYf",negative,anger
123,@ernestomaciast @Registraduria @PGN_COL tienen las elecciones cuadradas para que gane el hampón de @petrogustavo como sea.Yo no creo en la @Registraduria ni en @IndraenColombia que tiene cuestionamientos de su software en otros países pero la @CGR_Colombia @PGN_COL @CNE_COLOMBIA pasan de agache y no dicen ni hacen nada,negative,anger
337,"@ELTIEMPO NO IMPORTA que salgamos a votar 20 millones por @FicoGutierrez ,El registrador ""Tibisay VEGA"" y el @CNE_COLOMBIA al servicio de las 2 Prostitutas de la Justicia,""La suprema y La constitucional,se van a robar las elecciones a favor de ""PETRO"" ya se robaron las parlamentarias OJO!!",,
280,"Se acerca el día de las elecciones en #Colombia y como @petrogustavo ""El cacas"" sabe que no va pa'l baile entonces comienza a incendiar el país...",negative,anger
410,@FicoGutierrez Señores quien creo la AUC en colombia. Ahora se les salieron de las manos o es simplemente una estrategia para ganar las elecciones creando el caso en el país y echándole las culpas a otros. De verdad que somos un país donde todo lo olvidamos por eso estamos como estamos.,,
606,@PGuillermoSerra Por Colombia para que Dios tenga misericordia de nosotros y nos salve del socialismo en estas elecciones presidenciales,,
22,"Asesinado militante campesino del Pacto Histórico en Colombia
 
 
 
 Pese a aproximarse las elecciones presidenciales en Colombia, la violencia sigue en aumento y está vez acabó con la vida de un militante campesino del Pacto Histórico
 
 
 
 #JuventudDeportivaDeOro
 
 https://t.co/ld4jfHeNCk https://t.co/Z75KVwQkH3",negative,sadness
155,@PGN_COL @RedMasNoticias @NoticiasCaracol @NoticiasRCN @elespectador @ElNuevoSiglo @AtlanticoEmi @larepublica_co @elheraldoco @RevistaSemana @BluRadioCo tienen las elecciones cuadradas para que gane el hampón de @petrogustavo como sea.Yo no creo en la @Registraduria ni en @IndraenColombia que tiene cuestionamientos de su software en otros países pero la @CGR_Colombia @PGN_COL @CNE_COLOMBIA pasan de agache y no dicen ni hacen nada,negative,anger
591,Conducente prioritario autoridades anulen y repitan elecciones Congreso o al menos 25.000 mesas en dónde estuvieron 25.000 jurados de @UP_Colombia e izquierda terrorista lo EXIGIMOS los Colombianos demócratas. No existe otra solución digna. @CNE_COLOMBIA @PGN_COL @FiscaliaCol,,
201,"Un abrazo fuerte @CamiloRomero en próximas elecciones espero que mi voto sea por Usted, desde el cielo tu madre iluminará ese camino, y el de Colombia hoy.❤️ https://t.co/IiVUDKZpb0",positive,joy
156,@jorgeborjajp @lafm @FiscaliaCol tienen las elecciones cuadradas para que gane el hampón de @petrogustavo como sea.Yo no creo en la @Registraduria ni en @IndraenColombia que tiene cuestionamientos de su software en otros países pero la @CGR_Colombia @PGN_COL @CNE_COLOMBIA pasan de agache y no dicen ni hacen nada,negative,anger
312,EN 'GESTOSO GLOBAL' LAS AMENAZAS DE MUERTE A GUSTAVO PETRO en la recta final rumbo a las Elecciones Presidenciales de Colombia con Angel Becassino Asesor de Campañas Políticas domingo desde Bogota 20:30hs por #AbyaYalaTelevision Los espero! https://t.co/YJp1qhZ2aY,neutral,
125,En Colombia con las elecciones,neutral,joy
269,"Además, los gráficos y mapas electorales demuestran la importancia electoral que tiene el centro del país, ante la densidad poblacional y la tradición de salir a votar. https://t.co/tVxPTMLkC2",positive,joy
239,"@Rettador @petrogustavo @Registraduria @PactoHistorico NO IMPORTA que salgamos a votar 20 millones por @FicoGutierrez ,El registrador ""Tibisay VEGA"" y el @CNE_COLOMBIA al servicio de las 2 Prostitutas de la Justicia,""La suprema y La constitucional,se van a robar las elecciones a favor de ""PETRO"" ya se robaron las parlamentarias OJO!!",negative,anger
553,"No había caído en cuenta que el lunes 30 de mayo es puente festivo, se pueden perjudicar las elecciones, por favor no viajen ese día, salgan a votar juiciosos que si no votan se monta Petro!! Pilas Colombia, a ser responsables!!",,
628,"@petrogustavo sus narco amigos vándalos están amenazando a los habitantes de Córdoba y Choco.
 
 Colombianos si queremos salvar a Colombia de estos vándalos asesinos, debemos todos unirnos y en la elecciones derrotar definitivamente al peligro social llamado
 
 PETRO EL MADURISTA",negative,anger
48,"@HELIODOPTERO @cataboc El propósito es que halla elecciones en una Colombia aterrorizada. No podemos caer nuevamente en la trampa, votemos bien. No podemos permitir que el innombrable siga gobernando. Nuestro país necesita un cambio urgente.",negative,fear
490,Elecciones en Colombia: el silencio que decidirá al ganador https://t.co/lHH5JFvDd9,,
167,"@AlvaroUribeVel El creador del paramilitarismo en Colombia es usted señor , además quien debe garantizar la seguridad es la marioneta que puso de presidente, ahora como van perdidos en las elecciones porque el inútil de Fico les salió peor que Duque, toca sacar el truco llenar de terror",negative,anger
272,¿Cómo lucían los demás tarjetones? 👇¿Cree usted que se evidencia el cambio de un bipartidismo a un sistema de caudillos? https://t.co/7jcyCwQuni,neutral,fear
314,"@MariaFdaCabal Lo extraditaron rápido por dor razones señora Acabal.
 
 
 
 La primera y para mí la más importante es porque Otoniel en Colombia dando sus testimonios respresenta un verdadero riesgo para las elecciones pues ya estaba diciendo muchos nombres de políticos.",negative,anger
153,"¿Preparados para la guerra civil que se nos viene si la @Registraduria, el @CNE_COLOMBIA, y el @consejodeestado se roban las elecciones?",negative,fear
378,"Exigimos garantías para la vida y la democracia. A 24 días de elecciones, #Colombia se encuentra sitiada por las mafias del #ClanDelGolfo sin que el gobierno haga nada! Pedimos a la comunidad internacional pronunciarse inmediatamente.
 
 
 
 @WOLA_org #QuienRespondePor #ParoArmado https://t.co/G6qEJKkpcU",negative,anger
510,ESTO ES LO QUE LE ESPERA A COLOMBIA 🇨🇴 SI PETRO GANA LAS ELECCIONES SU PROPIEDAD Y LA DE TODOS LOS COLOMBIANOS SERÁN QUEMADOS SUS PROPIEDADES EXPROPIADAS OJO COLOMBIA 🇨🇴 https://t.co/FwhicXJj3D,,
568,"@UltimaHoraBLU Casi 2 millones de votos enredados, miles de jurados votando doble, pero para el Tribunal eso no fue suficiente. OJO COLOMBIA A VOTAR por @FicoGutierrez nada de salir de puente, paseo, ni pereza porque se van a robar las elecciones y mas fácil les queda si votamos pocos. @ghitis",,
108,@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Hace 4 años un perro rabioso se robó las elecciones,negative,anger
322,"Duque resultó el personaje mas inútil y desvergonzado de la Historia de Colombia, y está tan caído que en estos 20 días que faltan pa elecciones, lo mas seguro es que el CD pase a la ""oposición"" y Uribe diga que no lo conoce ni ha tenido tratos con el ni por interpuesta persona.",negative,joy
238,"#Recomendado ¿Qué es la #LeyDeGarantias? 
 
 ...Con esto se les impedía a gobernadores, alcaldes y otros funcionarios retomar obras de infraestructura que quedaron detenidas o que ni siquiera se alcanzaron a poner en marcha... 
 
 
 
 Leer más aquí: https://t.co/kZU2UYoPaF",neutral,sadness
227,Exigir elecciones limpias. No más fraude comunista y globalista. Yo denuncio el fraude que ya pasó y el que viene. Salvemos a Colombia. #GomezPresidente22-26 @MovSalvacionNal @jflafaurie @Enrique_GomezM @CarlosACuartasQ @MariaHerreraMe @isabelcuervo @valenciajorgea @LChileuitt https://t.co/1vslgRr5PC,negative,sadness
499,¡Es indignante lo que ocurre en Colombia! Estamos ante un fraude electoral y nuestro registrador sigue en el cargo. #ElRiesgoEs no repetir las elecciones y tener un Congreso ilegítimo. https://t.co/lxMRgs9kPo,,
518,"Así reaccionaron algunos candidatos al alza de la #inflación Variación anual del IPC llegó a 9,23% en abril, informó el @DANE_Colombia . Esto dijeron los aspirantes a la Presidencia sobre el dato, el más alto en 21 años. https://t.co/KkxlGRIPCi via @Portafolioco",,
61,"@EliorCymbler @marwhite01 @PalomaValenciaL @MariaFdaCabal @RafaNietoLoaiza El Hampón @Registraduria sigue adelante con su proyecto de robarnos Las elecciones presidenciales a favor de Petro, No podemos confiar en @CNE_COLOMBIA @Doris_MendezC pese a encontrar fraude en elecciones de congreso han manifestado que fueron transparentes, votar 2 veces legal?",negative,anger
479,"gobernante mas nefasto en la historia de colombia! 90% desaprobación 
 
 @IvanDuque te recordaremos el dia de las elecciones no permitir otro URIBISTA mas en el poder @FicoGutierrez con el historial mas oscuro y aliado de los que tiene el pais en paro!con su comandate y jefe politi https://t.co/canlQ2Fbc5",,
330,"A 23 días de elecciones el Registrador Nacional un corrupto pegado y atornillado al poder, con este tipo que Colombia desconfía es seguro que nos van a robar las elecciones @Registraduria @CNE_COLOMBIA @moecolombia @IvanDuque presidente líbrenos de esta plaga la @PGN_COL no pudo",negative,fear
547,"""Los destinos de Colombia y de Venezuela van por la misma senda, hasta se parecen a sus gobernantes, porque no hay nada más parecido a Maduro en Colombia que Duque"", aseguró.
 
 https://t.co/ajUujVFnF5",,
210,"@petrogustavo Pobre Colombia como gane usted las elecciones. Miseria trae siempre sus políticas, sin excepción.",negative,fear
226,"El candidato presidencial @ingrodolfohdez dice que buscará llegar al poder “sin comprar votos con plata robada del pueblo colombiano”. ¿#ASonDeQué quiere ser presidente? 
 
 
 
 https://t.co/9kDluOHG00
 
 
 
 #Elecciones2022 #ColombiaDecide https://t.co/HembUIeVXb",negative,fear
102,"No les parece raro q a pocos días de las elecciones presidenciales en colombia extraditen un narcotraficante para ocultar la verdad, y como consecuencia de esto desencadena un paro armado en algunas regiones del país. Quieren salvar a colombia de Petro! Se necesita un cambio ya!!",negative,anger
404,#ParoArmado q afecta a Colombia en estos momentos es el abre bocas de lo q se viene con la lacra de Petro cuando pierda las elecciones.,,
165,"@petrogustavo Esto está imparable!
 
  #ProgresistaSigueProgresista , #SúmateAlCambio , #YaLlegaElCambio .
 
 Sigamos sumando y logremos transformar a Colombia con Petro y Francia! A ganar las elecciones en primera vuelta! Sígueme y te sigo!",positive,joy
3,Petro ahora es el Capitán América o mejor dicho el Capitán Colombia de ganar las elecciones. No soltara el escudo ni para dormir 😂 https://t.co/k56Dv7id1J,negative,joy
241,"Colombia tiene hoy 2 amenazas públicas q @IvanDuque @Diego_Molano y @FuerzasMilCol NO PUEDEN IGNORAR.
 
 1)El Clan del Golfo y sus testaferros políticos y mediáticos incendiando el país en las carreteras y en las redes
 
 2)PETRO anunciando el ISIS COLOMBIANO si pierde las elecciones",negative,fear
137,"@ambar_ponte @DiegoFi27933574 @brisa7766433br1 @PGN_COL @moecolombia @CNE_COLOMBIA ADELANTE CON LA TUTELATÓN. QUIEN SE APUNTA??' ...ALLI GANAMOS, LOS BUENOS, QUE SOMOS MAS; FRENTE AL #PACTOVEGAPETRO PARA ROBARSE LAS ELECCIONES. SOMOS MAS UNIDOS https://t.co/KpcXgLOFOJ",positive,joy
259,"El Colombiano: Elecciones al mando de Vega tuvieron deficiencias que requieren correctivos: Tribunal tras negar su suspensión.
 
 https://t.co/EBwpUU4GkD
 
 
 
 a través de @GoogleNews",negative,sadness
351,"@Karlaarcila @Alfonso67766030 NO IMPORTA que salgamos a votar 20 millones por @FicoGutierrez ,El registrador ""Tibisay VEGA"" y el @CNE_COLOMBIA al servicio de las 2 Prostitutas de la Justicia,""La suprema y La constitucional,se van a robar las elecciones a favor de ""PETRO"" ya se robaron las parlamentarias OJO!!",,
255,"@eduardomackenz1 @omarvmurcia El si sabe que hacer, se robara las elecciones en Colombia con el apoyo del narco comunismo internacional y todo el apoyo de la Registraduria, CNE, Las Cortés, las ias gubernamentales, prensa Prepago, no terminaría.",negative,anger
206,"@smilelalis Y entonces @FiscaliaCol @PGN_COL @CNE_COLOMBIA 
 
 
 
 En que clase de miserable y peligroso show se convirtieron nuestras elecciones?",negative,anger
315,"Qué tal el robo de elecciones parlamentarias,gobierno y entes del estado callan,Con complicidad,⁦⁦@infopresidencia⁩ ⁦@FiscaliaCol⁩ ⁦@PGN_COL⁩ ⁦@CGR_Colombia⁩ ⁦@DEAHQ⁩ ⁦@USEmbassyBogota⁩ ⁦⁦⁦@CDemocraticoCo⁩ https://t.co/temZuQMkkd",negative,
283,"Una de las cosas más me impactó de realizar este especial fue descubrir que a menos de un mes de las elecciones aún hay candidatos que no han presentado un plan de gobierno 👀
 
 
 
 Averigua quiénes en @dpl_news ⬇️
 
  
 
 https://t.co/dm0lm5YnlH",negative,fear
348,"@FicoGutierrez @DANE_Colombia Gracias a @IvanDuque y ud que toma su legado, si Locombia lo elige estamos condenados a lo mismo, verdad que tienen platica pa robarse ñas elecciones... hdspm!!",,
25,"Pese a aproximarse las elecciones presidenciales en #Colombia, la violencia sigue en aumento y está vez acabó con la vida de un militante campesino del Pacto Histórico, quien fue asesinado en el departamento de Sucre. 
 
 https://t.co/hBj2dAdLDE
 
  vía @Agencia_VN https://t.co/WgaZLzY2hW",negative,sadness
